stitch_id,drug_name,smiles
CID100001972,amphotericin,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
CID100001978,acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
CID100001983,acetaminophen,CC(=O)NC1=CC=C(C=C1)O
CID100001986,acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CID100001990,acetohydroxamic,
CID100001993,methacholine,CC(C[N+](C)(C)C)OC(=O)C
CID100002019,actinomycin,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
CID100002021,spectinomycin,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
CID100002022,acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N
CID100002082,albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
CID100002083,salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CID100002085,Almeta,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC
CID100002088,alendronate,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
CID100002092,alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
CID100002094,allopurinol,C1=NNC2=C1C(=O)NC=N2
CID100002099,alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
CID100002118,alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CID100002123,hexamethylmelamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
CID100002130,amantadine,C1C2CC3CC1CC(C2)(C3)N
CID100002133,amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
CID100002140,diatrizoate,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
CID100002141,amifostine,C(CN)CNCCSP(=O)(O)O
CID100002142,amikacin,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
CID100002145,aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
CID100002148,p-aminohippurate,C1=CC(=CC=C1C(=O)NCC(=O)[O-])N
CID100002153,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
CID100002156,amiodarone,
CID100002159,amisulpride,
CID100002160,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CID100002161,amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
CID100002162,amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
CID100002163,amobarbital,
CID100002168,amorolfine,CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C
CID100002170,amoxapine,
CID100002171,amoxicillin,
